0	10	4.99343
0	20	4.95372
0	30	5.034
0	40	4.99632
0	50	5.02417
0	60	5.0516
0	70	4.98033
0	80	4.99835
0	90	4.93937
0	100	4.98813
0	110	2.1844
0	120	0
0	130	0
0	140	0
0	150	0
0	160	0
0	170	0
0	180	0
1	10	10.0995
1	20	9.90863
1	30	9.99836
1	40	10.0684
1	50	10.0282
1	60	10.0385
1	70	10.0192
1	80	10.0573
1	90	3.27557
1	100	0
1	110	0
1	120	0
1	130	0
1	140	0
1	150	0
1	160	0
1	170	0
1	180	0
2	10	15.1171
2	20	14.9021
2	30	15.0127
2	40	15.0663
2	50	15.0041
2	60	15.0712
2	70	14.4552
2	80	0
2	90	0
2	100	0
2	110	0
2	120	0
2	130	0
2	140	0
2	150	0
2	160	0
2	170	0
2	180	0
3	10	20.045
3	20	20.1204
3	30	20.07
3	40	19.9651
3	50	19.9709
3	60	0.0004288
3	70	0
3	80	0
3	90	0
3	100	0
3	110	0
3	120	0
3	130	0
3	140	0
3	150	0
3	160	0
3	170	0
3	180	0
4	10	30.3096
4	20	30.1838
4	30	30.1871
4	40	29.977
4	50	0.0004288
4	60	0
4	70	0
4	80	0
4	90	0
4	100	0
4	110	0
4	120	0
4	130	0
4	140	0
4	150	0
4	160	0
4	170	0
4	180	0
5	10	39.8344
5	20	40.1519
5	30	39.9946
5	40	0
5	50	0
5	60	0
5	70	0
5	80	0
5	90	0
5	100	0
5	110	0
5	120	0
5	130	0
5	140	0
5	150	0
5	160	0
5	170	0
5	180	0
6	10	44.8463
6	20	44.8909
6	30	44.6362
6	40	0
6	50	0
6	60	0
6	70	0
6	80	0
6	90	0
6	100	0
6	110	0
6	120	0
6	130	0
6	140	0
6	150	0
6	160	0
6	170	0
6	180	0
7	10	49.8303
7	20	48.9796
7	30	48.0154
7	40	0
7	50	0
7	60	0
7	70	0
7	80	0
7	90	0
7	100	0
7	110	0
7	120	0
7	130	0
7	140	0
7	150	0
7	160	0
7	170	0
7	180	0
8	10	58.3946
8	20	58.9324
8	30	0
8	40	0
8	50	0
8	60	0
8	70	0
8	80	0
8	90	0
8	100	0
8	110	0
8	120	0
8	130	0
8	140	0
8	150	0
8	160	0
8	170	0
8	180	0
